t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
165,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
166,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
167,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
168,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
169,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
170,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
171,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
172,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
173,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
174,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
175,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
176,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
177,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
178,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
179,0.8412535328311812,0.5406408174555976,2.4275943232284765,44.44444444444446,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
180,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
181,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
182,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
183,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
184,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
185,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
186,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
187,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
188,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
189,0.8412535328311812,0.5406408174555976,2.4275943232284765,62.22222222222223,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
190,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
191,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
192,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
193,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
194,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
195,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
196,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
197,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
198,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
199,0.8412535328311812,0.5406408174555976,2.4275943232284765,80.0,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
200,0.41541501300188644,0.9096319953545183,2.99879298751753,-80.0,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
201,0.41541501300188644,0.9096319953545183,2.99879298751753,-80.0,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
202,0.41541501300188644,0.9096319953545183,2.99879298751753,-80.0,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
203,0.41541501300188644,0.9096319953545183,2.99879298751753,-80.0,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
204,0.41541501300188644,0.9096319953545183,2.99879298751753,-80.0,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
